дом;dom;Haus
борода;boroda;der Bart
кузнец;kusnjez;der Schmied
богатырь;bogatyr;der Held
гитара;gitara;die Gitarre
внук;wnuk;der Enkel
малыш;malysch;das Baby
груша;gruscha;die Birne
лёд;ljod;das Eis
кошка;koschka;die Katze
бассейн;bassejn;das Schwimmbad
ворона;worona;die Krähe
корабль;korabl;das Schiff
вилка;wilka;die Gabel
крепость;krjepost;die Festung
люди;ljudi;die Menschen
мощь;moschtsch;die Macht
закат;sakat;der Sonnenuntergang
лампа;lampa;die Lampe
гриб;grib;der Pilz
живот;schiwot;der Bauch
молоко;moloko;die Milch
беда;bjeda;das Unglück
лист;list;das Blatt
воздух;wosduch;die Luft
мелочь;mjelotsch;die Kleinigkeit
зуб;sub;der Zahn
вишня;wischnja;die Kirsche
дума;duma;der Gedanke
запах;sapach;der Geruch
заказ;sakas;die Bestellung
ложка;loschka;der Löffel
карман;karman;die Tasche
восток;wostok;der Osten
корова;korowa;die Kuh
дверь;dwjer;die Tür
любовь;ljubow;die Liebe
майка;majka;das Unterhemd
зонт;sont;der Regenschirm
башня;baschnja;der Turm
здание;sdanije;das Gebäude
книга;kniga;das Buch
горло;gorlo;die Kehle
каша;kascha;der Brei
место;mjesto;der Platz
балкон;balkon;der Balkon
лавка;lawka;die Bank
институт;institut;das Institut
дыня;dynja;die Melone
мебель;mjebel;die Möbel
время;wrjemja;die Zeit
бумага;bumaga;das Papier
жених;schenich;der Bräutigam
лоб;lob;die Stirn
кисть;kist;der Pinsel
коза;kosa;die Ziege
брюки;brjuki;die Hose
галстук;galstuk;die Krawatte
морковь;morkow;die Möhre
банан;banan;die Banane
мать;mat;die Mutter
медведь;mjedwjed;der Bär
клён;kljon;der Ahorn
кукла;kukla;die Puppe
ключ;kljutsch;der Schlüssel
воля;wolja;der Wille
аптека;aptjeka;die Apotheke
лимон;limon;die Zitrone
актёр;aktjor;der Schauspieler
мост;most;die Brücke
абрикос;abrikos;die Aprikose
изба;isba;die Bauernhütte
крыша;kryscha;das Dach
врач;wratsch;der Arzt
кожа;koscha;die Haut
замок;samok;das Schloss
мечта;mjetschta;der Traum
ветка;wjetka;der Zweig
ладонь;ladon;die Handfläche
день;djen;der Tag
камень;kamjen;der Stein
зима;sima;der Winter
берлога;bjerloga;die Bärenhöhle
бизнес;bisnes;das Geschäft
адвокат;adwokat;der Anwalt
